#********** START OF renumber-sheet.ulp ULP Version 4.4.4 05-09-2016 :21:45:09 LOG **********#
#OldRef				SheetNumber	NewRef
CAM				1	CAM45
STATUS				1	STATUS45
S_RUD				1	S_RUD45
S_WINCH				1	S_WINCH45
WIND				1	WIND45
#********** END OF renumber-sheet.ulp ULP Version 4.4.4 05-09-2016 :21:45:09 LOG **********#

#********** START OF fix_via_hack.ulp ULP Version 4.6.0 05-09-2016 :21:45:46 LOG **********#
TRACK	WireCount=1		Net=GND				start(X=75950.000000 Y=27750.000000)	end(X=77000.000000 Y=27750.000000 )
TRACK	WireCount=2		Net=GND				start(X=77000.000000 Y=27750.000000)	end(X=77000.000000 Y=27850.000000 )
TRACK	WireCount=3		Net=GND				start(X=60000.000000 Y=12000.000000)	end(X=60000.000000 Y=11000.000000 )
TRACK	WireCount=4		Net=GND				start(X=23850.000000 Y=46100.000000)	end(X=23850.000000 Y=45300.000000 )
TRACK	WireCount=5		Net=GND				start(X=23850.000000 Y=45300.000000)	end(X=24250.000000 Y=45300.000000 )
TRACK	WireCount=6		Net=GND				start(X=24250.000000 Y=45300.000000)	end(X=24250.000000 Y=45700.000000 )
TRACK	WireCount=7		Net=GND				start(X=24250.000000 Y=45700.000000)	end(X=24100.000000 Y=45700.000000 )
TRACK	WireCount=8		Net=GND				start(X=76000.000000 Y=27750.000000)	end(X=75850.000000 Y=27750.000000 )
TRACK	WireCount=9		Net=GND				start(X=75600.000000 Y=28000.000000)	end(X=75550.000000 Y=28000.000000 )
TRACK	WireCount=10		Net=GND				start(X=75550.000000 Y=28000.000000)	end(X=75550.000000 Y=29600.000000 )
TRACK	WireCount=11		Net=GND				start(X=75550.000000 Y=29600.000000)	end(X=76450.000000 Y=29600.000000 )
TRACK	WireCount=12		Net=GND				start(X=76450.000000 Y=29600.000000)	end(X=76450.000000 Y=29500.000000 )
TRACK	WireCount=13		Net=GND				start(X=76450.000000 Y=29500.000000)	end(X=76350.000000 Y=29500.000000 )
TRACK	WireCount=14		Net=GND				start(X=76350.000000 Y=29500.000000)	end(X=76350.000000 Y=28200.000000 )
TRACK	WireCount=15		Net=GND				start(X=76350.000000 Y=28200.000000)	end(X=75900.000000 Y=28200.000000 )
TRACK	WireCount=16		Net=GND				start(X=75900.000000 Y=28200.000000)	end(X=75900.000000 Y=29100.000000 )
VIA	ViaCount=22		Net=GND				(X=14000.000000 Y=29000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=23		Net=GND				(X=33450.000000 Y=20700.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=24		Net=GND				(X=65000.000000 Y=41000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=25		Net=GND				(X=63000.000000 Y=27000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=26		Net=GND				(X=57000.000000 Y=35000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=27		Net=GND				(X=63000.000000 Y=17000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=28		Net=GND				(X=76000.000000 Y=33400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=29		Net=GND				(X=73000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=30		Net=GND				(X=63000.000000 Y=32000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=31		Net=GND				(X=42000.000000 Y=52000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=32		Net=GND				(X=29000.000000 Y=17000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=33		Net=GND				(X=79000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=34		Net=GND				(X=41000.000000 Y=16000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=35		Net=GND				(X=75000.000000 Y=24000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=36		Net=GND				(X=81000.000000 Y=9000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=37		Net=GND				(X=82000.000000 Y=11000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=38		Net=GND				(X=76550.000000 Y=34400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=39		Net=GND				(X=63000.000000 Y=2000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=40		Net=GND				(X=58000.000000 Y=2000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=41		Net=GND				(X=57650.000000 Y=40550.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=42		Net=GND				(X=53000.000000 Y=2000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=43		Net=GND				(X=53000.000000 Y=6000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=44		Net=GND				(X=35000.000000 Y=41000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=45		Net=GND				(X=65000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=46		Net=GND				(X=73000.000000 Y=50000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=47		Net=GND				(X=15000.000000 Y=21000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=48		Net=GND				(X=25000.000000 Y=30000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=49		Net=GND				(X=27150.000000 Y=30000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=50		Net=GND				(X=24886.000000 Y=46563.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=51		Net=GND				(X=25836.000000 Y=46763.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=52		Net=GND				(X=43000.000000 Y=20000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=53		Net=GND				(X=49000.000000 Y=12000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=54		Net=GND				(X=79000.000000 Y=8000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=55		Net=GND				(X=81000.000000 Y=8000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=56		Net=GND				(X=19000.000000 Y=21000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=57		Net=GND				(X=49000.000000 Y=19900.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=58		Net=GND				(X=10000.000000 Y=35000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=59		Net=GND				(X=13000.000000 Y=4000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=60		Net=GND				(X=29200.000000 Y=36150.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=61		Net=GND				(X=69000.000000 Y=41000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=62		Net=GND				(X=43000.000000 Y=9000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=63		Net=GND				(X=48000.000000 Y=9000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=64		Net=GND				(X=52500.000000 Y=27800.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=65		Net=GND				(X=81000.000000 Y=10000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=66		Net=GND				(X=45900.000000 Y=32250.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=67		Net=GND				(X=77000.000000 Y=8000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=68		Net=GND				(X=76000.000000 Y=8000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=69		Net=GND				(X=76000.000000 Y=25000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=70		Net=GND				(X=40100.000000 Y=36400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=71		Net=GND				(X=63000.000000 Y=12000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=72		Net=GND				(X=63000.000000 Y=6000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=73		Net=GND				(X=19000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=74		Net=GND				(X=19000.000000 Y=50000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=75		Net=GND				(X=34000.000000 Y=14000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=76		Net=GND				(X=34000.000000 Y=3000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=77		Net=GND				(X=44500.000000 Y=36400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=78		Net=GND				(X=43800.000000 Y=39800.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=79		Net=GND				(X=44600.000000 Y=39800.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=80		Net=GND				(X=29000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=81		Net=GND				(X=35000.000000 Y=45000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=82		Net=GND				(X=76550.000000 Y=36400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=83		Net=GND				(X=75450.000000 Y=36400.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=84		Net=GND				(X=47300.000000 Y=41950.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=85		Net=GND				(X=40200.000000 Y=16000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=86		Net=GND				(X=41800.000000 Y=16000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=87		Net=GND				(X=84900.000000 Y=39800.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=88		Net=GND				(X=85800.000000 Y=41850.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=89		Net=GND				(X=32000.000000 Y=38000.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=90		Net=GND				(X=29550.000000 Y=30750.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=91		Net=GND				(X=38250.000000 Y=17550.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=92		Net=GND				(X=37400.000000 Y=17550.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=93		Net=GND				(X=54250.000000 Y=28950.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=94		Net=GND				(X=54250.000000 Y=29750.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=95		Net=GND				(X=48350.000000 Y=29800.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=96		Net=GND				(X=45600.000000 Y=28250.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=97		Net=RFGND				(X=4000.000000 Y=3300.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=98		Net=RFGND				(X=1460.000000 Y=18540.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=99		Net=RFGND				(X=1460.000000 Y=3300.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=100		Net=RFGND				(X=1460.000000 Y=12190.000000)	LayerStart=1	LayerEnd=16
VIA	ViaCount=101		Net=RFGND				(X=4000.000000 Y=12190.000000)	LayerStart=1	LayerEnd=16
PADFILL	PadCount=1		Net=3.3V				(X=54200.000000 Y=10280.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=2		Net=GND				(X=54200.000000 Y=11980.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=4		Net=GND				(X=58100.000000 Y=15070.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=5		Net=3.3V				(X=60780.000000 Y=8470.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=6		Net=GND				(X=62480.000000 Y=8470.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=8		Net=GND				(X=57910.000000 Y=4570.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=10		Net=GND				(X=21930.000000 Y=11770.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=12		Net=GND				(X=19875.000000 Y=12320.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=14		Net=GND				(X=20492.500000 Y=7007.500000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=16		Net=RFGND				(X=7479.000000 Y=4735.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=20		Net=GND				(X=19025.000000 Y=16476.100000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=22		Net=GND				(X=36900.000000 Y=41289.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=23		Net=3.3V				(X=51511.000000 Y=29350.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=24		Net=GND				(X=53289.000000 Y=29350.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=27		Net=3.3V				(X=32539.000000 Y=31850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=28		Net=GND				(X=30761.000000 Y=31850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=29		Net=3.3V				(X=35089.000000 Y=38250.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=30		Net=GND				(X=33311.000000 Y=38250.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=32		Net=GND				(X=37750.000000 Y=18711.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=33		Net=V_BATT				(X=85400.000000 Y=8850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=34		Net=GND				(X=82600.000000 Y=8850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=35		Net=5V				(X=83100.000000 Y=21050.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=39		Net=5V				(X=76000.000000 Y=3600.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=40		Net=GND				(X=76000.000000 Y=6400.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=41		Net=V_BATT				(X=77900.000000 Y=26700.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=42		Net=GND				(X=76100.000000 Y=26700.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=43		Net=3.3V				(X=74100.000000 Y=31450.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=44		Net=GND				(X=75900.000000 Y=31450.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=45		Net=GND				(X=26350.000000 Y=27900.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=46		Net=3.3V				(X=26350.000000 Y=38100.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=49		Net=3.3V				(X=23840.000000 Y=41010.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=50		Net=GND				(X=25540.000000 Y=41010.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=54		Net=GND				(X=25320.000000 Y=48191.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=55		Net=3.3V				(X=46100.000000 Y=39550.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=56		Net=GND				(X=46100.000000 Y=41250.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=59		Net=GND				(X=26700.000000 Y=4200.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=61		Net=5V				(X=78000.000000 Y=3600.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=62		Net=GND				(X=78000.000000 Y=6400.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=63		Net=V_BATT				(X=84900.000000 Y=10600.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=64		Net=GND				(X=83100.000000 Y=10600.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=65		Net=3.3V				(X=78500.000000 Y=33400.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=74		Net=5V				(X=50300.000000 Y=47000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=76		Net=5V				(X=61950.000000 Y=47000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=80		Net=3.3V				(X=46300.000000 Y=14000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=90		Net=3.3V				(X=34000.000000 Y=31500.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=91		Net=GND				(X=34000.000000 Y=31000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=111		Net=3.3V				(X=38500.000000 Y=22000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=112		Net=GND				(X=39000.000000 Y=22000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=141		Net=3.3V				(X=50000.000000 Y=29000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=142		Net=GND				(X=50000.000000 Y=29500.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=160		Net=3.3V				(X=46000.000000 Y=38000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=161		Net=GND				(X=45500.000000 Y=38000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=179		Net=GND				(X=36500.000000 Y=38000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=180		Net=3.3V				(X=36000.000000 Y=38000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=196		Net=RFGND				(X=2323.600000 Y=10259.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=197		Net=RFGND				(X=2323.600000 Y=5179.600000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=198		Net=RFGND				(X=2323.600000 Y=10259.600000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=199		Net=RFGND				(X=2323.600000 Y=5179.600000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=204		Net=3.3V				(X=71950.000000 Y=29370.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=206		Net=5V				(X=80000.000000 Y=4150.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=208		Net=GND				(X=85050.000000 Y=41100.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=211		Net=3.3V				(X=6050.000000 Y=46000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=214		Net=3.3V				(X=33000.000000 Y=11950.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=217		Net=3.3V				(X=17250.000000 Y=39100.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=220		Net=GND				(X=68100.000000 Y=48950.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=223		Net=GND				(X=57100.000000 Y=48950.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=226		Net=GND				(X=82950.000000 Y=40900.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=229		Net=V_BATT				(X=82950.000000 Y=45050.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=231		Net=V_BATT				(X=80000.000000 Y=26150.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=233		Net=3.3V				(X=6150.000000 Y=48000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=237		Net=GND				(X=20725.000000 Y=15215.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=243		Net=GND				(X=8762.500000 Y=7720.000000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=244		Net=RFGND				(X=7492.500000 Y=7720.000000)	LayerStart=16	LayerEnd=16
PADFILL	PadCount=251		Net=GND				(X=85150.000000 Y=48300.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=258		Net=5V				(X=83150.000000 Y=19500.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=259		Net=GND				(X=83150.000000 Y=18000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=262		Net=3.3V				(X=78650.000000 Y=31900.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=263		Net=GND				(X=80700.000000 Y=31900.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=265		Net=3.3V				(X=71150.000000 Y=24000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=267		Net=V_BATT				(X=86850.000000 Y=45000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=269		Net=3.3V				(X=8900.000000 Y=41450.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=271		Net=3.3V				(X=35000.000000 Y=11850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=280		Net=GND				(X=53050.000000 Y=21200.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=283		Net=GND				(X=82850.000000 Y=39000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=290		Net=3.3V				(X=43325.000000 Y=17400.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=291		Net=3.3V				(X=43325.000000 Y=16600.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=292		Net=3.3V				(X=43325.000000 Y=15800.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=301		Net=GND				(X=77060.000000 Y=28250.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=302		Net=V_BATT				(X=77060.000000 Y=28750.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=306		Net=3.3V				(X=74950.000000 Y=29250.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=309		Net=GND				(X=76000.000000 Y=29000.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=312		Net=GND				(X=83050.000000 Y=12850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=314		Net=V_BATT				(X=84950.000000 Y=12850.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=318		Net=GND				(X=55510.000000 Y=11270.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=320		Net=3.3V				(X=55510.000000 Y=10270.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=325		Net=3.3V				(X=56760.000000 Y=8020.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=326		Net=GND				(X=57260.000000 Y=8020.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=328		Net=GND				(X=58260.000000 Y=8020.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=330		Net=3.3V				(X=59510.000000 Y=8770.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=332		Net=GND				(X=59510.000000 Y=9770.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=334		Net=GND				(X=59510.000000 Y=10770.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=335		Net=GND				(X=59510.000000 Y=11270.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=349		Net=GND				(X=16520.000000 Y=12520.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=351		Net=GND				(X=16520.000000 Y=14120.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=352		Net=GND				(X=16520.000000 Y=14920.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=356		Net=GND				(X=13220.000000 Y=15820.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=360		Net=GND				(X=10020.000000 Y=15820.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=362		Net=RFGND				(X=8420.000000 Y=15820.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=363		Net=RFGND				(X=7620.000000 Y=15820.000000)	LayerStart=1	LayerEnd=1
PADFILL	PadCount=365		Net=RFGND				(X=6720.000000 Y=14120.000000)	LayerStart=1	LayerEnd=1
